id,title,overview,tags,genres,director,actors,characters,year,votes,rating,popularity,budget,poster_url
436270,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",,"Action,Fantasy,Science Fiction",Jaume Collet-Serra,"Sarah Shahi,Dwayne Johnson,Henry Cavill,Pierce Brosnan,Aldis Hodge,Quintessa Swindell,Djimon Hounsou,Dean Norris,Noah Centineo,Jennifer Holland","Adrianna Tomaz,Black Adam / Teth Adam,Clark Kent / Superman (uncredited),Dr. Fate / Kent Nelson,Hawkman / Carter Hall,Cyclone / Maxine Hunkel,Wizard,White Adam,Atom Smasher / Al Rothstein,Emilia Harcourt",2022,1144,6.863,6202.882,200000000,https://image.tmdb.org/t/p/w154/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
882598,Smile,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",,"Horror,Mystery,Thriller",Parker Finn,"Kyle Gallner,Sosie Bacon,Caitlin Stasey,Kal Penn,Jessie T. Usher,Rob Morgan,Judy Reyes,Robin Weigert,Gillian Zinser,Marti Matulis","Joel,Dr. Rose Cotter,Laura Weaver,Dr. Morgan Desai,Trevor,Robert Talley,Victoria Munoz,Dr. Madeline Northcott,Holly,The Monstruosity",2022,615,6.808,3910.444,17000000,https://image.tmdb.org/t/p/w154/aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg
505642,Black Panther: Wakanda Forever,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",,"Action,Adventure,Science Fiction",Ryan Coogler,"Letitia Wright,Angela Bassett,Tenoch Huerta,Michael B. Jordan,Mabel Cadena,Martin Freeman,Lake Bell,Dominique Thorne,Richard Schiff,Lupita Nyong'o","Shuri,Ramonda,Namor,N'Jadaka / Erik 'Killmonger' Stevens,Namora,Everett Ross,Dr. Graham,Riri Williams / Ironheart,U.S. Secretary of State,Nakia",2022,718,7.512,3492.065,250000000,https://image.tmdb.org/t/p/w154/sv1xJUazXeYqALzczSZ3O6nkH75.jpg
966220,Sniper: The White Raven,"Mykola is an eccentric pacifist who wants to be useful to humanity. When the war begins at Donbass, Mykola’s naive world is collapsing as the militants kill his pregnant wife and burn his home to the ground. Recovered, he makes a cardinal decision and gets enlisted in a sniper company. Having met his wife’s killers, he emotionally breaks down and arranges “sniper terror” for the enemy. He’s saved from a senseless death by his instructor who himself gets mortally wounded. The death of a friend leaves a “scar” and Mykola is ready to sacrifice his life.",,"Drama,Action,War",Marian Bushan,"Maryna Koshkina,Roman Semysal,Andrei Mostrenko,Roman Yasinovskyi,Pavlo Aldoshyn,Oleh Shulha","Nastia,Brigade commander,Cap,,Mykola,",2022,84,7.423,2403.163,1000000,https://image.tmdb.org/t/p/w154/lZOODJzwuQo0etJJyBBZJOSdZcW.jpg
663712,Terrifier 2,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",,"Horror,Thriller",Damien Leone,"Lauren LaVera,David Howard Thornton,Katie Maguire,Samantha Scaffidi,Catherine Corcoran,Griffin Santopietro,Chris Irvine,Elliott Fullam,Felissa Rose,Casey Hartnett","Sienna,Art the Clown,Monica Brown,Victoria Heyes,Dawn,Eric,Burke,Jonathan,Ms. Principe,Allie",2022,612,7.0,2015.172,250000,https://image.tmdb.org/t/p/w154/b6IRp6Pl2Fsq37r9jFhGoLtaqHm.jpg
829280,Enola Holmes 2,"Now a detective-for-hire like her infamous brother, Enola Holmes takes on her first official case to find a missing girl, as the sparks of a dangerous conspiracy ignite a mystery that requires the help of friends — and Sherlock himself — to unravel.",,"Mystery,Adventure,Crime",Harry Bradbeer,"Millie Bobby Brown,Louis Partridge,Henry Cavill,Helena Bonham Carter,David Thewlis,Abbie Hern,Tim McMullan,Hannah Dodd,Adeel Akhtar,Himesh Patel","Enola Holmes,Lord Tewkesbury,Sherlock Holmes,Eudoria Holmes,Grail,Mae,Charles McIntyre,Cicely,Lestrade,Dr. Watson",2022,925,7.745,1787.272,0,https://image.tmdb.org/t/p/w154/tegBpjM5ODoYoM1NjaiHVLEA0QM.jpg
676701,Tad the Lost Explorer and the Emerald Tablet,"Tad would love for his archeologist colleagues to accept him as one of their own, but he always messes everything up. Tad accidentally destroys a sarcophagus and unleashes an ancient spell endangering the lives of his friends: Mummy, Jeff and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure that will take him from Mexico to Chicago and from Paris to Egypt, in order to put an end to the curse of the Mummy.",,"Adventure,Animation,Comedy",Enrique Gato,"Michelle Jenner,Cecilia Suárez,Alexandra Jiménez,José Corbacho,Ben Cura,Luis Posada,Óscar Barberán,Manuel Burque,Berta Cortés,Roser Aldabó","Sara,Agente Ramirez,Victoria,Ryu,Rayan,Momia,Tadeo,Martin,Ann,Emilia",2022,82,7.902,1833.372,0,https://image.tmdb.org/t/p/w154/jvIVl8zdNSOAJImw1elQEzxStMN.jpg
675054,MexZombies,"A group of teenagers must face a zombie apocalypse, and help reestablish order.",,"Horror,Action,Comedy",Chava Cartas,"Bárbara de Regil,Sara Maldonado,Alejandro Puente,Iñaki Godoy,Pascacio López,Mayra Batalla,Daniel Tovar,Anna Ciocchetti,Roberta Damián,Ricardo Polanco","Jefe Vargas,Sara,Deivid,Tavo,Matón tatuado,Mamá Tavo,Lalo,Mujer elegante,Ana,Runner",2022,78,7.295,1454.895,0,https://image.tmdb.org/t/p/w154/85zufUxhD97k2s5Bu2u101Qd8Sg.jpg
979924,On the Line,A provocative and edgy radio host must play a dangerous game of cat and mouse with a mysterious caller who's kidnapped his family and is threatening to blow up the whole station.,,Thriller,Romuald Boulanger,"Mel Gibson,Kevin Dillon,Enrique Arce,William Moseley,Alia Seror-O'Neill,Nadia Farès,John Robinson,Carole Weyers,Yann Bean,Yoli Fuller","Elvis Cooney,Justin,,Dylan,Mary,Sam Dubois,Mad Man,,Bruce,Steven",2022,116,6.44,1471.212,0,https://image.tmdb.org/t/p/w154/jVmWI8PqoVTHCnrLYAcyrclzeY0.jpg
